"game_title","game_platform","score_id"
"","GEN",660
"","GEN",14247
"'98 Koshien","PS",4729
" Beyblade Burst","3DS",14986
" Fire Emblem Fates","3DS",1080
" Frozen: Olaf's Quest","3DS",3359
" Frozen: Olaf's Quest","DS",3863
" Haikyu!! Cross Team Match!","3DS",13796
" Tales of Xillia 2","PS3",2455
".hack//G.U. Vol.1//Rebirth","PS2",8344
".hack//G.U. Vol.2//Reminisce","PS2",7089
".hack//G.U. Vol.2//Reminisce (jp sales)","PS2",8599
".hack//G.U. Vol.3//Redemption","PS2",8295
".hack//Infection Part 1","PS2",1562
".hack//Link","PSP",9065
".hack//Mutation Part 2","PS2",2991
".hack//Outbreak Part 3","PS2",4266
".hack//Quarantine Part 4: The Final Chapter","PS2",7994
".hack: Sekai no Mukou ni + Versus","PS3",14332
"[Prototype 2]","PC",10317
"[Prototype 2]","PS3",2761
"[Prototype 2]","X360",2593
"[Prototype]","PS3",1612
"[Prototype]","X360",1504
"007 Racing","PS",3758
"007: Quantum of Solace","DS",9509
"007: Quantum of Solace","PC",14661
"007: Quantum of Solace","PS2",4476
"007: Quantum of Solace","PS3",1786
"007: Quantum of Solace","Wii",3121
"007: Quantum of Solace","X360",1286
"007: The World is not Enough","N64",1205
"007: The World is not Enough","PS",2244
"007: Tomorrow Never Dies","PS",424
"1 vs. 100","DS",11275
"1/2 Summer +","PSP",16224
"10 Minute Solution","Wii",11722
"100 All-Time Favorites","DS",3899
"100 Classic Books","DS",3055
"100 Classic Games","DS",14138
"1000 Cooking Recipes from ELLE Ã  table","DS",14809
"1001 Touch Games","DS",5726
"101-in-1 Explosive Megamix","DS",7785
"101-in-1 Party Megamix Wii","Wii",7142
"101-in-1 Sports Megamix","DS",11390
"101-in-1 Sports Party Megamix","Wii",14781
"1080Â°: TenEighty Snowboarding","N64",840
"11eyes: CrossOver","PSP",15659
"11eyes: CrossOver","X360",15094
"12-Sai. Honto no Kimochi","3DS",12252
"12-Sai. Koisuru Diary","3DS",13427
"12Riven: The Psi-Climinal of Integral","PS2",13738
"15 Days","PC",16710
"1701 A.D.","PC",5926
"18 Wheeler: American Pro Trucker","GC",10078
"18 Wheeler: American Pro Trucker","PS2",4806
"18 Wheels of Steel: Extreme Trucker","PC",15291
"18 Wheels of Steel: Extreme Trucker 2","PC",10005
"187: Ride or Die","PS2",8881
"187: Ride or Die","XB",12285
"1942","NES",2063
"2-in-1 Game Pack: Spider-Man & Spider-Man 2","GBA",11070
"2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race","GBA",9837
"2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures","GBA",1002
"2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2","GBA",5751
"2 Games in 1: Disney Princess & The Lion King","GBA",1018
"2 Games in 1: Sonic Advance & ChuChu Rocket!","GBA",951
"2 Games in 1: Sonic Battle & ChuChu Rocket!","GBA",3283
"2 Games in 1: Sonic Pinball Party & Columns Crown","GBA",12449
"2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild","GBA",4277
"2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","X360",9968
"2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","XB",3762
"2002 FIFA World Cup","GC",13304
"2002 FIFA World Cup","PS2",3396
"2002 FIFA World Cup","XB",7822
"2010 FIFA World Cup South Africa","PS3",1635
"2010 FIFA World Cup South Africa","PSP",4212
"2010 FIFA World Cup South Africa","Wii",4580
"2010 FIFA World Cup South Africa","X360",2430
"2014 FIFA World Cup Brazil","PS3",3272
"2014 FIFA World Cup Brazil","X360",4551
"24: The Game","PS2",5857
"25 to Life","PS2",4556
"25 to Life","XB",8433
"2Xtreme","PS",1380
"3 in 1: Solitaire Mahjong & Tangram","DS",11861
"300: March to Glory","PSP",4689
"3D Baseball","PS",14265
"3D Dot Game Heroes","PS3",3548
"3D Lemmings","PS",12620
"3D Tank Warfare Simulator Panzer Front","PS",10596
"3DS Classic Collection","3DS",14348
"3rd Super Robot Wars Z Jigoku Hen","PS3",7118
"3rd Super Robot Wars Z Jigoku Hen","PSV",7892
"3rd Super Robot Wars Z: Tengoku-Hen","PS3",8822
"3rd Super Robot Wars Z: Tengoku-Hen","PSV",7884
"3Xtreme","PS",2305
"4 Elements","PC",12923
"4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship","DS",10272
"4 Nin uchi Mahjong","NES",1319
"4 Play Collection - Dark Mysteries","PC",16074
"40 Winks","PS",5805
"428: Fuusa Sareta Shibuya de","PS3",15240
"428: Fuusa Sareta Shibuya de","PSP",13607
"428: Fuusa Sareta Shibuya de","Wii",9601
"4x4 EVO 2","GC",9237
"4x4 EVO 2","XB",6883
"4x4 Evolution","PS2",5671
"50 Cent: Blood on the Sand","PS3",7874
