"title","year_of_release","genre","rating","platform"
"",1993,"","","GEN"
"'98 Koshien",1998,"Sports","","PS"
" Beyblade Burst",2016,"Role-Playing","","3DS"
" Fire Emblem Fates",2015,"Role-Playing","","3DS"
" Frozen: Olaf's Quest",2013,"Platform","","3DS"
" Frozen: Olaf's Quest",2013,"Platform","","DS"
" Haikyu!! Cross Team Match!",2016,"Adventure","","3DS"
" Tales of Xillia 2",2012,"Role-Playing","T","PS3"
".hack//G.U. Vol.1//Rebirth",2006,"Role-Playing","","PS2"
".hack//G.U. Vol.2//Reminisce",2006,"Role-Playing","","PS2"
".hack//G.U. Vol.2//Reminisce (jp sales)",2006,"Role-Playing","","PS2"
".hack//G.U. Vol.3//Redemption",2007,"Role-Playing","","PS2"
".hack//Infection Part 1",2002,"Role-Playing","T","PS2"
".hack//Link",2010,"Role-Playing","","PSP"
".hack//Mutation Part 2",2002,"Role-Playing","T","PS2"
".hack//Outbreak Part 3",2002,"Role-Playing","T","PS2"
".hack//Quarantine Part 4: The Final Chapter",2003,"Role-Playing","","PS2"
".hack: Sekai no Mukou ni + Versus",2012,"Action","","PS3"
"[Prototype 2]",2012,"Action","M","PC"
"[Prototype 2]",2012,"Action","M","PS3"
"[Prototype 2]",2012,"Action","M","X360"
"[Prototype]",2009,"Action","M","PS3"
"[Prototype]",2009,"Action","M","X360"
"007 Racing",2000,"Racing","T","PS"
"007: Quantum of Solace",2008,"Action","T","DS"
"007: Quantum of Solace",2008,"Action","T","PC"
"007: Quantum of Solace",2008,"Action","","PS2"
"007: Quantum of Solace",2008,"Action","T","PS3"
"007: Quantum of Solace",2008,"Action","T","Wii"
"007: Quantum of Solace",2008,"Action","T","X360"
"007: The World is not Enough",2000,"Action","","N64"
"007: The World is not Enough",2000,"Action","T","PS"
"007: Tomorrow Never Dies",1999,"Shooter","","PS"
"1 vs. 100",2008,"Misc","E","DS"
"1/2 Summer +",2013,"Adventure","","PSP"
"10 Minute Solution",2010,"Sports","E","Wii"
"100 All-Time Favorites",2009,"Puzzle","E","DS"
"100 Classic Books",2008,"Misc","","DS"
"100 Classic Games",2011,"Misc","","DS"
"1000 Cooking Recipes from ELLE Ã  table",2010,"Misc","","DS"
"1001 Touch Games",2011,"Action","E","DS"
"101-in-1 Explosive Megamix",2008,"Puzzle","E","DS"
"101-in-1 Party Megamix Wii",2009,"Misc","","Wii"
"101-in-1 Sports Megamix",2010,"Sports","E10+","DS"
"101-in-1 Sports Party Megamix",2010,"Sports","E10+","Wii"
"1080Â°: TenEighty Snowboarding",1998,"Sports","","N64"
"11eyes: CrossOver",2010,"Adventure","","PSP"
"11eyes: CrossOver",2009,"Adventure","","X360"
"12-Sai. Honto no Kimochi",2014,"Adventure","","3DS"
"12-Sai. Koisuru Diary",2016,"Adventure","","3DS"
"12Riven: The Psi-Climinal of Integral",2008,"Adventure","","PS2"
"15 Days",2009,"Adventure","","PC"
"1701 A.D.",2006,"Simulation","E10+","PC"
"18 Wheeler: American Pro Trucker",2002,"Racing","E","GC"
"18 Wheeler: American Pro Trucker",2001,"Racing","E","PS2"
"18 Wheels of Steel: Extreme Trucker",2009,"Racing","","PC"
"18 Wheels of Steel: Extreme Trucker 2",2011,"Racing","E","PC"
"187: Ride or Die",2005,"Racing","M","PS2"
"187: Ride or Die",2005,"Racing","M","XB"
"1942",1985,"Shooter","","NES"
"2-in-1 Game Pack: Spider-Man & Spider-Man 2",2005,"Platform","","GBA"
"2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race",2005,"Racing","","GBA"
"2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures",2007,"Action","","GBA"
"2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2",2005,"Action","","GBA"
"2 Games in 1: Disney Princess & The Lion King",2004,"Misc","","GBA"
"2 Games in 1: Sonic Advance & ChuChu Rocket!",2005,"Misc","","GBA"
"2 Games in 1: Sonic Battle & ChuChu Rocket!",2005,"Misc","","GBA"
"2 Games in 1: Sonic Pinball Party & Columns Crown",2005,"Misc","","GBA"
"2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild",2005,"Platform","","GBA"
"2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe",2013,"Misc","","X360"
"2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe",2004,"Misc","","XB"
"2002 FIFA World Cup",2002,"Sports","E","GC"
"2002 FIFA World Cup",2002,"Sports","E","PS2"
"2002 FIFA World Cup",2002,"Sports","E","XB"
"2010 FIFA World Cup South Africa",2010,"Sports","E","PS3"
"2010 FIFA World Cup South Africa",2010,"Sports","E","PSP"
"2010 FIFA World Cup South Africa",2010,"Sports","E","Wii"
"2010 FIFA World Cup South Africa",2010,"Sports","E","X360"
"2014 FIFA World Cup Brazil",2014,"Sports","E","PS3"
"2014 FIFA World Cup Brazil",2014,"Sports","E","X360"
"24: The Game",2006,"Adventure","M","PS2"
