"game_title","game_platform","publisher_title"
"","GEN","Acclaim Entertainment"
"'98 Koshien","PS","Magical Company"
" Beyblade Burst","3DS","FuRyu"
" Fire Emblem Fates","3DS","Nintendo"
" Frozen: Olaf's Quest","3DS","Disney Interactive Studios"
" Frozen: Olaf's Quest","DS","Disney Interactive Studios"
" Haikyu!! Cross Team Match!","3DS","Namco Bandai Games"
" Tales of Xillia 2","PS3","Namco Bandai Games"
".hack//G.U. Vol.1//Rebirth","PS2","Namco Bandai Games"
".hack//G.U. Vol.2//Reminisce","PS2","Namco Bandai Games"
".hack//G.U. Vol.2//Reminisce (jp sales)","PS2","Namco Bandai Games"
".hack//G.U. Vol.3//Redemption","PS2","Namco Bandai Games"
".hack//Infection Part 1","PS2","Atari"
".hack//Link","PSP","Namco Bandai Games"
".hack//Mutation Part 2","PS2","Atari"
".hack//Outbreak Part 3","PS2","Atari"
".hack//Quarantine Part 4: The Final Chapter","PS2","Atari"
".hack: Sekai no Mukou ni + Versus","PS3","Namco Bandai Games"
"[Prototype 2]","PC","Activision"
"[Prototype 2]","PS3","Activision"
"[Prototype 2]","X360","Activision"
"[Prototype]","PS3","Activision"
"[Prototype]","X360","Activision"
"007 Racing","PS","Electronic Arts"
"007: Quantum of Solace","DS","Activision"
"007: Quantum of Solace","PC","Activision"
"007: Quantum of Solace","PS2","Activision"
"007: Quantum of Solace","PS3","Activision"
"007: Quantum of Solace","Wii","Activision"
"007: Quantum of Solace","X360","Activision"
"007: The World is not Enough","N64","Electronic Arts"
"007: The World is not Enough","PS","Electronic Arts"
"007: Tomorrow Never Dies","PS","Electronic Arts"
"1 vs. 100","DS","DSI Games"
"1/2 Summer +","PSP","Kaga Create"
"10 Minute Solution","Wii","Activision"
"100 All-Time Favorites","DS","Ubisoft"
"100 Classic Books","DS","Nintendo"
"100 Classic Games","DS","Rondomedia"
"1000 Cooking Recipes from ELLE Ã  table","DS","Nintendo"
"1001 Touch Games","DS","Avanquest"
"101-in-1 Explosive Megamix","DS","Nordcurrent"
"101-in-1 Party Megamix Wii","Wii","Nordcurrent"
"101-in-1 Sports Megamix","DS","Nordcurrent"
"101-in-1 Sports Party Megamix","Wii","Nordcurrent"
"1080Â°: TenEighty Snowboarding","N64","Nintendo"
"11eyes: CrossOver","PSP","5pb"
"11eyes: CrossOver","X360","5pb"
"12-Sai. Honto no Kimochi","3DS","Happinet"
"12-Sai. Koisuru Diary","3DS","Happinet"
"12Riven: The Psi-Climinal of Integral","PS2","CyberFront"
"15 Days","PC","DTP Entertainment"
"1701 A.D.","PC","Deep Silver"
"18 Wheeler: American Pro Trucker","GC","Acclaim Entertainment"
"18 Wheeler: American Pro Trucker","PS2","Acclaim Entertainment"
"18 Wheels of Steel: Extreme Trucker","PC","Rondomedia"
"18 Wheels of Steel: Extreme Trucker 2","PC","Rondomedia"
"187: Ride or Die","PS2","Ubisoft"
"187: Ride or Die","XB","Ubisoft"
"1942","NES","Capcom"
"2-in-1 Game Pack: Spider-Man & Spider-Man 2","GBA","Activision"
"2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race","GBA","THQ"
"2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures","GBA","THQ"
"2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2","GBA","THQ"
"2 Games in 1: Disney Princess & The Lion King","GBA","THQ"
"2 Games in 1: Sonic Advance & ChuChu Rocket!","GBA","THQ"
"2 Games in 1: Sonic Battle & ChuChu Rocket!","GBA","THQ"
"2 Games in 1: Sonic Pinball Party & Columns Crown","GBA","Sega"
"2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild","GBA","THQ"
"2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","X360","Ubisoft"
"2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","XB","Sega"
"2002 FIFA World Cup","GC","Electronic Arts"
"2002 FIFA World Cup","PS2","Electronic Arts"
"2002 FIFA World Cup","XB","Electronic Arts"
"2010 FIFA World Cup South Africa","PS3","Electronic Arts"
"2010 FIFA World Cup South Africa","PSP","Electronic Arts"
"2010 FIFA World Cup South Africa","Wii","Electronic Arts"
"2010 FIFA World Cup South Africa","X360","Electronic Arts"
"2014 FIFA World Cup Brazil","PS3","Electronic Arts"
"2014 FIFA World Cup Brazil","X360","Electronic Arts"
"24: The Game","PS2","Sony Computer Entertainment"
"25 to Life","PS2","Eidos Interactive"
"25 to Life","XB","Eidos Interactive"
"2Xtreme","PS","Sony Computer Entertainment"
"3 in 1: Solitaire Mahjong & Tangram","DS","Deep Silver"
"300: March to Glory","PSP","Warner Bros. Interactive Entertainment"
"3D Baseball","PS","BMG Interactive Entertainment"
"3D Dot Game Heroes","PS3","SouthPeak Games"
"3D Lemmings","PS","Psygnosis"
"3D Tank Warfare Simulator Panzer Front","PS","Avalon Interactive"
"3DS Classic Collection","3DS","Sega"
