"critic_score","user_score","critic_count","user_count","score_id"
76,8,51,322,1
0,0,0,0,2
82,8.3,73,709,3
80,8,73,192,4
0,0,0,0,5
0,0,0,0,6
89,8.5,65,431,7
58,6.6,41,129,8
87,8.4,80,594,9
0,0,0,0,10
0,0,0,0,11
91,8.6,64,464,12
0,0,0,0,13
80,7.7,63,146,14
61,6.3,45,106,15
80,7.4,33,52,16
97,8.2,50,3994,17
95,9,80,1588,18
0,0,0,0,19
77,7.9,58,50,20
0,0,0,0,21
0,0,0,0,22
0,0,0,0,23
97,8.1,58,3711,24
95,8.7,62,730,25
0,0,0,0,26
77,7.1,37,19,27
0,0,0,0,28
95,8.4,54,314,29
88,3.4,81,8713,30
0,0,0,0,31
0,0,0,0,32
87,6.3,89,1454,33
0,0,0,0,34
83,5.3,21,922,35
83,4.8,73,2256,36
94,6.3,100,2698,37
88,3.2,39,5234,38
97,8.5,56,664,39
93,8.9,81,1662,40
85,8.2,73,632,41
88,6.4,58,1094,42
97,8.3,66,2899,43
86,8.7,57,242,44
94,7.8,86,4100,45
0,0,0,0,46
0,0,0,0,47
0,0,0,0,48
89,8.5,74,272,49
97,8.9,73,2147,50
0,0,0,0,51
98,7.9,86,2951,52
96,8.7,16,138,53
90,8.4,82,921,54
84,7.5,82,1112,55
94,6.3,67,2073,56
0,0,0,0,57
98,7.5,64,2833,58
0,0,0,0,59
0,0,0,0,60
73,2.6,29,2117,61
74,7.8,15,16,62
78,7.2,70,424,63
0,0,0,0,64
91,7.9,99,2045,65
92,9.2,20,1282,66
87,7,87,3260,67
93,9,23,135,68
74,7.3,24,24,69
71,2.6,10,1047,70
94,8.4,70,1320,71
0,0,0,0,72
0,0,0,0,73
88,8.7,70,626,74
72,7.8,27,85,75
96,8.4,89,3589,76
0,0,0,0,77
82,4.3,42,896,78
95,8.2,91,1218,79
68,7.4,42,54,80
62,6.3,41,190,81
88,6.6,37,348,82
0,0,0,0,83
0,0,0,0,84
92,8.7,53,1056,85
86,7.6,75,886,86
0,0,0,0,87
0,0,0,0,88
90,8.6,24,644,89
0,0,0,0,90
83,8.5,46,203,91
88,7.6,65,451,92
83,5.7,39,1443,93
0,0,0,0,94
85,5,41,398,95
0,0,0,0,96
0,0,0,0,97
97,9.1,87,1854,98
0,0,0,0,99
0,0,0,0,100
84,7.6,84,580,101
84,7.4,57,2142,102
85,8.6,33,171,103
49,8,21,110,104
85,7.5,38,1761,105
87,6.5,58,4228,106
96,9.1,15,367,107
95,9,73,1658,108
0,0,0,0,109
91,8.9,12,432,110
88,9.1,82,1599,111
92,9.1,38,568,112
0,0,0,0,113
82,8.6,39,132,114
88,8.5,29,135,115
0,0,0,0,116
74,7.3,10,28,117
93,7.7,90,2739,118
92,8.3,97,3712,119
0,0,0,0,120
94,8.4,44,993,121
96,8.8,105,5187,122
0,0,0,0,123
74,7.4,45,27,124
0,0,0,0,125
95,8.8,73,2456,126
86,4.3,37,576,127
85,6.9,41,1307,128
87,8.6,77,368,129
97,8.6,68,1283,130
92,6.4,16,2527,131
76,9,28,222,132
85,8.8,46,597,133
0,0,0,0,134
83,7.1,94,1163,135
95,9,96,2316,136
92,8.6,61,439,137
0,0,0,0,138
93,7.3,57,2182,139
87,8.1,22,78,140
91,7.8,96,1504,141
73,7.4,51,95,142
94,8.3,88,2295,143
82,5.7,47,988,144
96,8.7,42,1026,145
0,0,0,0,146
94,9.4,20,918,147
94,8.7,82,3558,148
92,7.6,64,972,149
95,9.1,98,8003,150
95,6.8,85,5311,151
89,9.2,13,364,152
87,8.8,65,197,153
89,8.9,8,102,154
76,6.1,95,5380,155
80,8.9,17,62,156
67,7.2,35,21,157
0,0,0,0,158
0,0,0,0,159
91,8.6,70,1202,160
81,7.7,77,1074,161
92,8,90,516,162
84,7.8,19,41,163
81,8.7,48,124,164
96,8.6,42,2162,165
97,7.9,14,764,166
93,8.3,24,108,167
0,0,0,0,168
0,0,0,0,169
66,7.1,22,156,170
85,7.6,45,409,171
93,7.9,113,7064,172
0,0,0,0,173
83,7.3,83,2483,174
0,0,0,0,175
94,8.9,22,779,176
84,6.7,61,1196,177
85,6.6,45,400,178
0,0,0,0,179
81,5.4,53,898,180
0,0,0,0,181
90,8.8,82,1305,182
85,0,13,0,183
94,8.5,29,140,184
0,0,0,0,185
84,8.1,70,733,186
89,8.8,63,245,187
0,0,0,0,188
85,8.6,72,147,189
0,0,0,0,190
90,6.1,48,403,191
0,0,0,0,192
88,4,86,9629,193
68,7.6,30,100,194
0,0,0,0,195
0,0,0,0,196
92,8.5,69,112,197
80,6.5,88,604,198
0,0,0,0,199
84,7.5,76,667,200
90,8,57,416,201
0,0,0,0,202
89,8,51,233,203
91,9,8,266,204
86,8,50,150,205
92,9.2,18,69,206
0,0,0,0,207
0,0,0,0,208
82,8.2,24,46,209
68,7.1,34,47,210
0,0,0,0,211
93,8.5,84,1655,212
88,8.1,66,2306,213
88,8,29,121,214
0,0,0,0,215
0,0,0,0,216
0,0,0,0,217
0,0,0,0,218
93,8.2,82,3052,219
81,7.3,40,769,220
92,8.7,101,2633,221
88,9,20,233,222
80,5.4,9,46,223
62,7.7,14,92,224
94,8.7,87,1472,225
0,0,0,0,226
